ID,query,urls,affect,commas,dashes,differentiation,exclamations,hear,i,other_punctuation,periods,personal_concerns,power,relativity,semicolons,social,ambifeel_score,Class
1,0.016,0,0.025974025974026000,0.03659976387249110,0.009445100354191260,0.03659976387249110,0,0.0059031877213695400,0.0023612750885478200,0.010625737898465200,0.043683589138134600,0.07083825265643450,0.0295159386068477,0.12632821723730800,0.0011806375442739100,0.10861865407320000,0.01076188785036670,1
2,0.085,0,0.059490084985835700,0.049575070821529700,0,0.021246458923512700,0,0.012747875354107600,0.009915014164305950,0.0084985835694051,0.042492917847025500,0.046742209631728000,0.036827195467422100,0.14022662889518400,0,0.14589235127478800,0.02811753128075360,0
3,0.302,0,0.07317073170731710,0.06215578284815110,0.007081038552321010,0.02832415420928400,0,0.0007867820613690010,0.0007867820613690010,0.011014948859166000,0.05428796223446110,0.07002360346184110,0.04956726986624710,0.11408339889850500,0,0.07553107789142410,0.03953660003845130,1
4,0.086,0,0.05516014234875450,0.019572953736654800,0.0071174377224199300,0.017793594306049800,0,0.014234875444839900,0.0035587188612099600,0.0071174377224199300,0.0498220640569395,0.07473309608540930,0.046263345195729500,0.16370106761565800,0,0.10142348754448400,0,1
5,0.028,0,0.006535947712418300,0.06535947712418300,0.006535947712418300,0.006535947712418300,0,0,0,0.0196078431372549,0.032679738562091500,0.0915032679738562,0.05228758169934640,0.0718954248366013,0,0.12418300653594800,0,1
6,0.019,0,0.052132701421800900,0.052132701421800900,0,0.04265402843601900,0.004739336492891000,0.023696682464455000,0,0.018957345971564000,0.08530805687203790,0.014218009478673000,0.03317535545023700,0.13744075829383900,0,0.12796208530805700,0.003941197335750600,0
7,0.153,0,0.03125,0.021484375,0.015625,0.001953125,0.001953125,0.005859375,0,0.00390625,0.04296875,0.03515625,0.021484375,0.1953125,0,0.07421875,0.016880033444552200,1
8,0.009,0,0.03850782190132370,0.06498194945848380,0,0.013237063778580000,0,0.007220216606498200,0.0012033694344163700,0.0024067388688327300,0.06377858002406740,0.06979542719614920,0.07220216606498200,0.15042117930204600,0,0.11672683513838700,0.022128749085588900,0
9,0.015,0,0.05138888888888890,0.03194444444444440,0,0.025694444444444400,0,0.004166666666666670,0.017361111111111100,0.015277777777777800,0.05,0.07083333333333330,0.044444444444444400,0.10972222222222200,0,0.10972222222222200,0.03464203233256350,0
10,0.005,0,0.033218785796105400,0.06242840778923250,0,0.019473081328751400,0.000572737686139748,0.015463917525773200,0.0057273768613974800,0.003436426116838490,0.09965635738831620,0.08018327605956470,0.09163802978235970,0.143184421534937,0,0.14490263459335600,0.02825641511772900,0
11,0.063,0,0.02596537949400800,0.045272969374167800,0,0.016644474034620500,0,0.007989347536617840,0,0.009986684420772300,0.04727030625832220,0.11584553928095900,0.05525965379494010,0.14247669773635200,0,0.09187749667110520,0.016238892146691300,0
12,0.063,0,0.0673076923076923,0.04230769230769230,0,0.021153846153846200,0.0057692307692307700,0.0038461538461538500,0.0038461538461538500,0.021153846153846200,0.046153846153846200,0.10192307692307700,0.011538461538461500,0.08653846153846150,0,0.08846153846153850,0.013104442405975600,0
13,0.036,0,0.035164835164835200,0.07252747252747250,0.013186813186813200,0.01978021978021980,0,0.004395604395604400,0,0.002197802197802200,0.04395604395604400,0.05274725274725280,0.04395604395604400,0.15604395604395600,0,0.035164835164835200,0.0047799243178649700,1
14,0.009,0,0.011450381679389300,0.03435114503816790,0,0.019083969465648900,0,0.003816793893129770,0,0.003816793893129770,0.03435114503816790,0.03435114503816790,0.0916030534351145,0.11068702290076300,0,0.06870229007633590,0.010797969981643500,1
15,0.021,0,0.03720106288751110,0.07351638618246240,0,0.01948627103631530,0,0.015057573073516400,0.001771479185119580,0.006200177147918510,0.07440212577502210,0.054030115146147000,0.02037201062887510,0.15854738706820200,0,0.10186005314437600,0.02106526868701450,0
16,0.052,0,0.0317208564631245,0.047581284694686800,0,0.01823949246629660,0,0.011102299762093600,0.003965107057890560,0.00951625693893735,0.07375099127676450,0.10547184773988900,0.06740681998413960,0.14908802537668500,0,0.0943695479777954,0.015177797051170900,0
17,0.015,0,0.02466367713004480,0.04932735426008970,0.011210762331838600,0.01569506726457400,0.002242152466367710,0.017937219730941700,0.006726457399103140,0.006726457399103140,0.04484304932735430,0.06053811659192830,0.026905829596412600,0.17488789237668200,0,0.13901345291479800,0.0378925611926588,1
18,0.005,0,0.021691973969631200,0.026030368763557500,0.0014461315979754200,0.015184381778741900,0.0072306579898770800,0.0007230657989877080,0.007953723788864790,0.03398409255242230,0.06290672451193060,0.06290672451193060,0.03109182935647140,0.16630513376717300,0,0.03398409255242230,0.03324690878281530,1
19,0.008,0,0.046153846153846200,0.055384615384615400,0,0.018461538461538500,0,0.012307692307692300,0.018461538461538500,0.006153846153846150,0.055384615384615400,0.06153846153846150,0.052307692307692300,0.12307692307692300,0,0.12615384615384600,0.01993396872858660,0
20,0.012,0,0.049479166666666700,0.057291666666666700,0.005208333333333330,0.026041666666666700,0.005208333333333330,0.010416666666666700,0,0,0.028645833333333300,0.057291666666666700,0.041666666666666700,0.1640625,0,0.09375,0.026071370376405400,1
21,0.105,0,0.006944444444444440,0.0625,0,0.017361111111111100,0.003472222222222220,0.003472222222222220,0,0.013888888888888900,0.04513888888888890,0.0798611111111111,0.024305555555555600,0.1111111111111110,0,0.07291666666666670,0.02018861938684280,0
22,0.095,0,0.05687203791469190,0.0995260663507109,0,0.03317535545023700,0,0.009478672985781990,0.009478672985781990,0.014218009478673000,0.052132701421800900,0.02843601895734600,0.04739336492891000,0.14691943127962100,0,0.12796208530805700,0.006944444444444440,0
23,0.01,0,0.03578528827037770,0.039761431411530800,0.013916500994035800,0.02186878727634200,0,0.007952286282306160,0.019880715705765400,0.015904572564612300,0.0437375745526839,0.06759443339960240,0.04572564612326040,0.09741550695825050,0,0.12524850894632200,0.01000283413633860,1
24,0.012,0,0.031630170316301700,0.052311435523114400,0,0.014598540145985400,0.0024330900243309000,0.009732360097323600,0.010948905109489100,0,0.049878345498783500,0.046228710462287100,0.046228710462287100,0.15085158150851600,0,0.07907542579075430,0.014463669642622000,0
25,0.007,0,0.06735751295336790,0.05181347150259070,0.0025906735751295300,0.03626943005181350,0,0,0,0,0.03238341968911920,0.050518134715025900,0.038860103626943000,0.13860103626943000,0,0.07772020725388600,0.015481793410948700,1
26,0.01,0,0.0670611439842209,0.04339250493096650,0,0.009861932938856020,0,0.007889546351084810,0,0.009861932938856020,0.047337278106508900,0.1203155818540430,0.047337278106508900,0.09861932938856020,0,0.11045364891518700,0.01785980056556040,0
27,0.017,0,0.046908315565032000,0.057569296375266500,0.0042643923240938200,0.031982942430703600,0,0.008528784648187630,0.0021321961620469100,0.006396588486140730,0.03411513859275050,0.017057569296375300,0.046908315565032000,0.15991471215351800,0,0.09594882729211090,0.007390300230946880,1
28,0.013,0,0.034255599472990800,0.07509881422924900,0,0.017127799736495400,0,0.022397891963109400,0.0013175230566534900,0,0.08168642951251650,0.06455862977602110,0.08563899868247690,0.1225296442687750,0,0.17391304347826100,0.004411724156947090,0
29,0.009,0,0.042704626334519600,0.05693950177935940,0,0.04092526690391460,0,0.012455516014234900,0.014234875444839900,0.010676156583629900,0.046263345195729500,0.037366548042704600,0.012455516014234900,0.11743772241992900,0,0.11921708185053400,0.011448103294600600,0
30,0.079,0,0.035897435897435900,0.0641025641025641,0.009401709401709400,0.018803418803418800,0,0.005128205128205130,0.0008547008547008550,0.015384615384615400,0.03418803418803420,0.05726495726495730,0.03504273504273500,0.17435897435897400,0,0.035897435897435900,0.014176882727333800,1
31,0.094,0,0.03773584905660380,0.06839622641509430,0,0.027515723270440300,0,0.010220125786163500,0.0015723270440251600,0.003930817610062890,0.05188679245283020,0.07861635220125790,0.05817610062893080,0.12971698113207500,0,0.08962264150943400,0.03357925033910080,0
32,0.061,0,0.03061849357011640,0.06368646662584200,0,0.017758726270667500,0,0.007960808328230250,0.003061849357011640,0.00612369871402327,0.04654011022657690,0.10287813839559100,0.04592774035517450,0.14819350887936300,0,0.05327617881200250,0.01705677892802850,0
33,0.026,0,0.035650623885918000,0.06506238859180040,0,0.017825311942959000,0,0.020499108734402900,0.00089126559714795,0.012477718360071300,0.06149732620320860,0.0944741532976827,0.04367201426024960,0.11853832442067700,0,0.09536541889483070,0.016143027221179700,0
34,0.038,0,0.046813310772701600,0.06824591088550480,0,0.02763677382966720,0.0005640157924421880,0.015792442188381300,0.0045121263395375100,0.0045121263395375100,0.047377326565143800,0.07896221094190640,0.06204173716864070,0.11505922165820600,0,0.09362662154540330,0.017024822639429900,0
35,0.241,0.000270929287455974,0.05147656461663510,0.039013817393660300,0.003251151449471690,0.03142779734489300,0.004605797886751560,0.004605797886751560,0.011108100785694900,0.007586020048767270,0.050663776754267100,0.06285559468978600,0.03386616093199680,0.1446762395014900,0.000812787862367922,0.07152533188837710,0.02559851413681120,1
36,0.045,0.00030147723846849600,0.047934880916490800,0.03949351823937290,0.01175761230027130,0.027434428700633100,0.00030147723846849600,0.0036177268616219500,0.01175761230027130,0.029846246608381100,0.04220681338558940,0.04461863129333740,0.03949351823937290,0.12511305396442600,0,0.061501356647573100,0.0274957716481176,1
37,0.011,0,0.04,0.04,0,0.013333333333333300,0.0022222222222222200,0.011111111111111100,0.0022222222222222200,0.03111111111111110,0.06,0.06888888888888890,0.057777777777777800,0.15333333333333300,0,0.09333333333333330,0.004702558846581170,0
