,confidence,happy,angry,bored,fear,sad,excited,spam,news,feedback,marketing,Class
0,86,0.141304155,0.263038758,0.030369568,0.16277821,0.102868697,0.299640612,0.018000000000000002,0.615,0.034,0.33,0
1,83,0.160946913,0.26476093100000003,0.035402338,0.144925453,0.09470893,0.299255435,0.063,0.7859999999999999,0.085,0.04,0
2,86,0.170361643,0.236800547,0.094162015,0.191645116,0.151904812,0.155125868,0.031,0.7859999999999999,0.075,0.07400000000000001,0
3,92,0.345438908,0.123361643,0.046313453,0.09931124699999999,0.069136313,0.316438437,0.022000000000000002,0.6659999999999999,0.11199999999999999,0.195,1
4,86,0.069720961,0.170406245,0.014859345,0.12475805,0.5504556970000001,0.069799703,0.034,0.773,0.156,0.005,0
5,86,0.17145483600000003,0.247414123,0.079974982,0.147889097,0.128774651,0.22449231100000003,0.027000000000000003,0.706,0.127,0.11699999999999999,0
6,86,0.173149542,0.194263162,0.061455385999999994,0.187470893,0.120851805,0.262809212,0.013000000000000001,0.9420000000000001,0.018000000000000002,0.027000000000000003,0
7,86,0.151316728,0.27054022,0.043425904,0.198810113,0.14239309,0.193513945,0.021,0.8690000000000001,0.066,0.028999999999999998,0
8,86,0.23401711100000003,0.127484421,0.05451436900000001,0.247806965,0.16404611300000002,0.17213102100000002,0.085,0.516,0.204,0.134,0
9,74,0.165895648,0.211817043,0.053829292,0.206153845,0.192206097,0.170098077,0.16699999999999998,0.528,0.16899999999999998,0.102,0
10,86,0.503456685,0.060547319,0.026604475,0.113558664,0.042199963,0.253632894,0.10300000000000001,0.29600000000000004,0.303,0.285,0
11,86,0.181395298,0.091490264,0.015989991999999998,0.134945457,0.13384228,0.442336709,0.057999999999999996,0.5429999999999999,0.35100000000000003,0.039,0
12,86,0.12070208,0.399102236,0.049028193,0.12362701400000001,0.059720985,0.247819491,0.016,0.887,0.037000000000000005,0.055,1
13,86,0.14573728,0.253113341,0.044681944,0.190130689,0.149446204,0.216890542,0.177,0.499,0.25,0.06,0
14,73,0.124591273,0.159829688,0.13040022199999998,0.206343424,0.205407781,0.17342761199999998,0.025,0.813,0.094,0.047,0
15,94,0.230510393,0.24830714,0.079141673,0.126895743,0.123803825,0.191341227,0.016,0.698,0.14800000000000002,0.06,1
16,94,0.097404925,0.252903971,0.033276802,0.194478762,0.139130938,0.282804602,0.013999999999999999,0.867,0.08,0.02,1
17,92,0.294507907,0.15858207900000001,0.032896649,0.162780926,0.065287654,0.285944785,0.034,0.6920000000000001,0.08800000000000001,0.161,1
18,86,0.10060009199999999,0.268106805,0.072975863,0.189728139,0.20668024,0.16190886,0.055999999999999994,0.763,0.13,0.04,0
19,100,0.09462048199999999,0.238572271,0.093494305,0.21403162899999997,0.09485455300000001,0.26442676,0.055999999999999994,0.66,0.132,0.035,1
20,86,0.373802474,0.11267953300000001,0.007275018,0.044796874,0.027075393,0.434370708,0.084,0.48,0.192,0.243,1
21,83,0.205769223,0.232241841,0.04306099099999999,0.141157483,0.084593076,0.29317738600000004,0.062,0.5529999999999999,0.11699999999999999,0.23800000000000002,0
22,76,0.177525734,0.213210137,0.055590390999999996,0.17922085899999998,0.150973879,0.22347899999999998,0.032,0.8420000000000001,0.092,0.023,0
23,86,0.188311851,0.145557304,0.09406121699999999,0.17833488399999997,0.07938872799999999,0.314346016,0.051,0.483,0.177,0.18100000000000002,0
24,83,0.219120335,0.176151854,0.052590259,0.14502121099999998,0.139641723,0.26747461899999997,0.024,0.8170000000000001,0.091,0.05,0
25,83,0.074729532,0.362943456,0.06216959,0.212475533,0.19354685100000002,0.094135038,0.022000000000000002,0.6779999999999999,0.09300000000000001,0.027000000000000003,0
26,86,0.07812707099999999,0.28194298,0.120002112,0.197814173,0.19323874,0.128874925,0.134,0.518,0.19399999999999998,0.091,0
27,86,0.089185536,0.34707677600000003,0.124761205,0.165520527,0.152822401,0.120633555,0.077,0.684,0.11,0.073,0
28,76,0.10233571,0.308732244,0.076796538,0.194994997,0.201349043,0.11579146800000001,0.036000000000000004,0.636,0.23,0.033,0
29,86,0.17187085100000002,0.24087551100000001,0.052012234000000004,0.17641935600000003,0.19860856300000002,0.16021348400000002,0.037000000000000005,0.669,0.17,0.083,0
30,76,0.331670452,0.09342214199999999,0.024224874,0.162677406,0.07303776599999999,0.31496736,0.047,0.44299999999999995,0.177,0.32299999999999995,0
31,73,0.137565996,0.20209452,0.053464860999999995,0.189049915,0.19315721600000002,0.224667493,0.045,0.879,0.052000000000000005,0.011000000000000001,0
32,86,0.21101709899999999,0.15897481300000002,0.059210534,0.219203182,0.15441306900000001,0.197181303,0.083,0.599,0.23800000000000002,0.033,0
33,91,0.272420714,0.17348028899999998,0.023122135,0.07469622299999999,0.040231145,0.41604949399999996,0.038,0.6629999999999999,0.065,0.23,1
34,76,0.069518102,0.143796851,0.17784588399999998,0.21292154100000002,0.17737813,0.218539492,0.212,0.091,0.37200000000000005,0.182,0
35,100,0.11863770400000001,0.253374657,0.068154965,0.21254295199999998,0.19526923100000002,0.152020491,0.031,0.875,0.049,0.028999999999999998,1
36,100,0.20169647699999999,0.18916271199999998,0.05189788,0.112427809,0.083258858,0.36155626399999996,0.366,0.484,0.073,0.055,1
37,86,0.274493269,0.143791954,0.041760328,0.18690260600000003,0.142605739,0.210446105,0.08199999999999999,0.441,0.174,0.27,0
38,92,0.24952098600000003,0.11404130900000001,0.029781573,0.24471827,0.060970509000000006,0.300967353,0.14,0.588,0.05,0.21899999999999997,1
