@relation Training-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute score_tag {P,N,NEU,NONE,P+,N+}
@attribute agreement {DISAGREEMENT,AGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute happy numeric
@attribute angry numeric
@attribute bored numeric
@attribute fear numeric
@attribute sad numeric
@attribute excited numeric
@attribute spam numeric
@attribute news numeric
@attribute feedback numeric
@attribute marketing numeric
@attribute query numeric
@attribute word_count numeric
@attribute words_per_sentence numeric
@attribute sentence_count numeric
@attribute six_plus_words numeric
@attribute emojis numeric
@attribute emoticons numeric
@attribute hashtags numeric
@attribute urls numeric
@attribute analytical_thinking numeric
@attribute authentic numeric
@attribute clout numeric
@attribute emotional_tone numeric
@attribute dictionary_words numeric
@attribute achievement numeric
@attribute adjectives numeric
@attribute adverbs numeric
@attribute affect numeric
@attribute affiliation numeric
@attribute all_punctuation numeric
@attribute anger_words numeric
@attribute anxiety_words numeric
@attribute apostrophes numeric
@attribute articles numeric
@attribute assent numeric
@attribute auxiliary_verbs numeric
@attribute biological_processes numeric
@attribute body numeric
@attribute causation numeric
@attribute certainty numeric
@attribute cognitive_processes numeric
@attribute colons numeric
@attribute commas numeric
@attribute comparisons numeric
@attribute conjunctions numeric
@attribute dashes numeric
@attribute death numeric
@attribute differentiation numeric
@attribute discrepancies numeric
@attribute drives numeric
@attribute exclamations numeric
@attribute family numeric
@attribute feel numeric
@attribute female numeric
@attribute filler_words numeric
@attribute focus_future numeric
@attribute focus_past numeric
@attribute focus_present numeric
@attribute friends numeric
@attribute function_words numeric
@attribute health numeric
@attribute hear numeric
@attribute home numeric
@attribute i numeric
@attribute impersonal_pronouns numeric
@attribute informal_language numeric
@attribute ingestion numeric
@attribute insight numeric
@attribute interrogatives numeric
@attribute leisure numeric
@attribute male numeric
@attribute money numeric
@attribute motion numeric
@attribute negations numeric
@attribute negative_emotion_words numeric
@attribute netspeak numeric
@attribute nonfluencies numeric
@attribute numbers numeric
@attribute other_grammar numeric
@attribute other_punctuation numeric
@attribute parentheses numeric
@attribute perceptual_processes numeric
@attribute periods numeric
@attribute personal_concerns numeric
@attribute personal_pronouns numeric
@attribute positive_emotion_words numeric
@attribute power numeric
@attribute prepositions numeric
@attribute pronouns numeric
@attribute quantifiers numeric
@attribute question_marks numeric
@attribute quotes numeric
@attribute relativity numeric
@attribute religion numeric
@attribute reward numeric
@attribute risk numeric
@attribute sad_words numeric
@attribute see numeric
@attribute semicolons numeric
@attribute sexual numeric
@attribute she_he numeric
@attribute social numeric
@attribute space numeric
@attribute swear_words numeric
@attribute tentative numeric
@attribute they numeric
@attribute time numeric
@attribute time_orientation numeric
@attribute verbs numeric
@attribute we numeric
@attribute work numeric
@attribute you numeric
@attribute admiration_count numeric
@attribute amusement_count numeric
@attribute anger_count numeric
@attribute boredom_count numeric
@attribute calmness_count numeric
@attribute curiosity_count numeric
@attribute desire_count numeric
@attribute disgust_count numeric
@attribute excitement_count numeric
@attribute fear_count numeric
@attribute gratitude_count numeric
@attribute joy_count numeric
@attribute love_count numeric
@attribute pain_count numeric
@attribute sadness_count numeric
@attribute surprise_count numeric
@attribute goodfeel_count numeric
@attribute ambifeel_count numeric
@attribute badfeel_count numeric
@attribute emotionality_count numeric
@attribute sentiment_count numeric
@attribute admiration_score numeric
@attribute amusement_score numeric
@attribute anger_score numeric
@attribute boredom_score numeric
@attribute calmness_score numeric
@attribute curiosity_score numeric
@attribute desire_score numeric
@attribute disgust_score numeric
@attribute excitement_score numeric
@attribute fear_score numeric
@attribute gratitude_score numeric
@attribute joy_score numeric
@attribute love_score numeric
@attribute pain_score numeric
@attribute sadness_score numeric
@attribute surprise_score numeric
@attribute goodfeel_score numeric
@attribute ambifeel_score numeric
@attribute badfeel_score numeric
@attribute emotionality_score numeric
@attribute sentiment_score numeric
@attribute non_emotion_score numeric
@attribute emotion_word_count numeric
@attribute Class {0,1}

@data
75,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.133246,0.162749,0.131996,0.252013,0.141382,0.178613,0.034,0.797,0.079,0.052,0.037,821,24.147059,34,0.384896,0,0,0,0,97.44242,15.301297,61.981027,62.719312,0.729598,0.026797,0.035323,0.014616,0.031669,0.00609,0.097442,0.001218,0.001218,0.007308,0.105968,0,0.066991,0.001218,0.001218,0.026797,0.004872,0.088916,0.001218,0.031669,0.017052,0.046285,0,0.001218,0.017052,0.014616,0.084044,0,0,0,0,0,0.013398,0.029233,0,0,0.426309,0,0.004872,0.002436,0,0.048721,0,0,0.017052,0.00609,0.001218,0.003654,0.020706,0.020706,0.004872,0.00609,0,0,0.01218,0.175396,0.009744,0,0.009744,0.045067,0.073082,0.00609,0.025579,0.045067,0.146163,0.054811,0.007308,0,0.002436,0.129111,0,0.008526,0.01218,0.001218,0.004872,0,0,0,0.052375,0.079172,0,0.015834,0.00609,0.029233,0.109622,0.115713,0,0.059683,0,32,0,26,9,3,6,0,0,3,20.4,35.1,8,6,0,32,10,82.1,19,64.4,161.1,82.1,0.550994,0,0.499263,0.25658,0.103175,0.187051,0,0,0.103175,0.438929,0.573747,0.234764,0.187051,0,0.394644,0.277186,0.088081,0.020384,0.069091,0.172836,0.489774,0.827164,50,0
76,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.04762,0.242181,0.083188,0.27659,0.240129,0.110291,0.101,0.483,0.299,0.018,0.099,487,28.647059,17,0.379877,0,0,0.014374,0,92.87457,10.11825,81.13397,25.774194,0.718686,0.022587,0.041068,0.039014,0.032854,0.024641,0.158111,0.004107,0.010267,0.022587,0.073922,0,0.063655,0.002053,0,0.020534,0.004107,0.078029,0.002053,0.047228,0.026694,0.032854,0.004107,0.002053,0.004107,0.008214,0.100616,0,0.002053,0,0.00616,0,0.01848,0.065708,0,0,0.396304,0,0.010267,0.002053,0,0.045175,0.002053,0.002053,0.030801,0.01232,0.00616,0.010267,0.002053,0.01232,0.002053,0.016427,0,0,0.026694,0.221766,0.028747,0.008214,0.022587,0.024641,0.049281,0.026694,0.016427,0.049281,0.131417,0.071869,0.020534,0.008214,0.01232,0.119097,0,0.022587,0,0.002053,0.01232,0,0,0.01232,0.086242,0.045175,0,0.01848,0.00616,0.061602,0.131417,0.12731,0.008214,0.039014,0,5,0,8.5,0,0,0,5,9,2.83,16.25,7,1,1,0,5,20,22.32,28,43.75,93.07,22.32,0.213319,0,0.315527,0,0,0,0.213319,0.327999,0.133057,0.468447,0.275167,0.051443,0.051443,0,0.213319,0.520304,0.04043,0.050718,0.079247,0.168584,-0.621729,0.831416,28,1
77,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.122528,0.260044,0.045958,0.191277,0.165455,0.214738,0.059,0.704,0.129,0.08,0.028,1174,23.959184,49,0.374787,0,0,0,0,98.298787,15.147319,77.836663,39.473267,0.793867,0.022147,0.049404,0.021295,0.034072,0.012777,0.155026,0.007666,0.000852,0.013629,0.101363,0.000852,0.055366,0.006814,0.002555,0.017036,0.005963,0.065588,0.001704,0.057922,0.019591,0.031516,0,0.000852,0.013629,0.006814,0.123509,0,0.001704,0.001704,0.000852,0,0.015332,0.03833,0.002555,0.002555,0.410562,0.002555,0.013629,0.003407,0,0.037479,0.000852,0.001704,0.004259,0.010221,0.003407,0.036627,0.041738,0.028961,0.003407,0.012777,0.000852,0,0.011073,0.178024,0.004259,0,0.022998,0.063884,0.107325,0.021295,0.020443,0.085179,0.158433,0.058773,0.016184,0,0.013629,0.151618,0,0.004259,0.008518,0.000852,0.007666,0,0,0.01448,0.091141,0.080068,0,0.019591,0.004259,0.040886,0.0954,0.0954,0.002555,0.087734,0,14,0,48.35,0,7,16,10,7,26.83,52.35,26.7,8,23,3.5,14,0,97.53,34,108.2,236.73,97.53,0.309017,0,0.606993,0,0.182744,0.338231,0.242102,0.182744,0.461512,0.625785,0.460306,0.203537,0.423534,0.10056,0.323939,0,0.073016,0.025454,0.081004,0.177229,-0.325246,0.822771,75,0
78,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.086228,0.268235,0.110527,0.217981,0.190952,0.126076,0.039,0.783,0.065,0.09,0.023,325,21.666667,15,0.32,0,0,0,0,98.374152,51.538462,76.983683,85.143357,0.867692,0.018462,0.04,0.027692,0.046154,0.012308,0.190769,0.006154,0,0.015385,0.101538,0,0.055385,0.006154,0,0.015385,0.024615,0.101538,0.003077,0.024615,0.027692,0.04,0,0,0.018462,0,0.095385,0,0,0.003077,0,0,0.012308,0.018462,0,0,0.449231,0,0.018462,0.003077,0,0.033846,0.003077,0.006154,0.006154,0.015385,0.009231,0,0,0.015385,0.006154,0.006154,0.003077,0,0.067692,0.258462,0.04,0.006154,0.027692,0.046154,0.067692,0.024615,0.04,0.061538,0.178462,0.058462,0.070769,0,0.055385,0.187692,0.012308,0.015385,0.018462,0,0.006154,0,0,0,0.095385,0.107692,0,0.046154,0.021538,0.064615,0.116923,0.08,0,0.043077,0.003077,42.375,0,16,0,0,0,2,0,1,0,0,4,34.75,0,42.375,0,82.125,4,27.95,114.075,82.125,0.709852,0,0.480185,0,0,0,0.103517,0,0.054584,0,0,0.187613,0.667364,0,0.187613,0,0.195967,0.009545,0.066695,0.272207,0.815613,0.727793,20,0
79,NEU,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.077399,0.364327,0.068465,0.180635,0.209704,0.09947,0.007,0.92,0.043,0.012,0.018,474,52.666667,9,0.379747,0,0,0,0,98.775602,9.952371,85.428462,4.435355,0.753165,0.021097,0.025316,0.023207,0.042194,0.027426,0.126582,0.021097,0.006329,0.006329,0.111814,0,0.046414,0.025316,0.006329,0.008439,0.00211,0.046414,0,0.044304,0.018987,0.031646,0.008439,0.006329,0.006329,0.006329,0.094937,0,0,0,0,0,0.006329,0.067511,0.004219,0.004219,0.440928,0.012658,0.004219,0,0,0.037975,0.006329,0,0.021097,0.016878,0.004219,0.025316,0.010549,0.016878,0,0.031646,0.006329,0,0.025316,0.168776,0.004219,0.00211,0.004219,0.048523,0.067511,0.035865,0.010549,0.040084,0.170886,0.07384,0.006329,0,0.012658,0.137131,0.008439,0.006329,0.008439,0,0,0,0.006329,0.025316,0.105485,0.056962,0,0.006329,0.004219,0.063291,0.092827,0.094937,0,0.042194,0.006329,8,0,55,0,0,7,0,3,1.83,46,2,0,2,0,8,1,13.83,8,102,121.83,13.83,0.373545,0,0.803901,0,0,0.342861,0,0.182744,0.120028,0.774197,0.129732,0,0.129732,0,0.342861,0.069365,0.024399,0.014114,0.179948,0.214932,-0.902855,0.785068,29,1
80,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.248644,0.197121,0.024122,0.135762,0.046987,0.347364,0.039,0.413,0.114,0.424,0.009,440,40,11,0.309091,0,0,0.002273,0,87.602438,46.363636,69.142857,29.573668,0.811364,0.025,0.065909,0.029545,0.045455,0.025,0.138636,0.006818,0.002273,0.029545,0.072727,0.002273,0.072727,0.040909,0.009091,0.006818,0.011364,0.079545,0,0.029545,0.027273,0.056818,0.002273,0,0.022727,0.009091,0.086364,0,0,0.002273,0.002273,0,0.015909,0.031818,0.009091,0.009091,0.45,0.004545,0.009091,0,0.006818,0.054545,0.013636,0.020455,0.013636,0.011364,0.027273,0.011364,0.004545,0.015909,0.011364,0.020455,0,0.004545,0.013636,0.231818,0.011364,0.002273,0.031818,0.025,0.075,0.043182,0.022727,0.036364,0.147727,0.097727,0.015909,0,0.038636,0.175,0.002273,0.006818,0.006818,0.006818,0.009091,0,0.006818,0.004545,0.088636,0.084091,0.006818,0.029545,0.022727,0.075,0.131818,0.127273,0.006818,0.043182,0.002273,2,0,27.625,0.6,6,0,4,15.625,7.83,7.3,0,8,15.75,0,2,0,35.58,4,41.225,80.805,35.58,0.118818,0,0.650652,0.038879,0.288013,0,0.2124,0.513012,0.345506,0.329833,0,0.350379,0.515002,0,0.2124,0,0.072939,0.0082,0.084511,0.16565,-0.349902,0.83435,33,1
81,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.128859,0.200571,0.109012,0.2186,0.190197,0.152761,0.171,0.394,0.269,0.057,0.109,79,13.166667,6,0.227848,0,0,0,0,90.569436,69.444244,87.270214,2.798712,0.822785,0.012658,0.037975,0.037975,0.050633,0.037975,0.202532,0.037975,0,0.050633,0.050633,0.012658,0.037975,0.012658,0.012658,0.012658,0,0.088608,0,0.037975,0.012658,0.037975,0,0,0.025316,0,0.075949,0,0,0.037975,0.012658,0,0.012658,0.025316,0,0,0.379747,0,0.063291,0.012658,0,0.025316,0.025316,0,0.050633,0.012658,0.025316,0.012658,0,0.025316,0.037975,0.037975,0.012658,0,0,0.21519,0.012658,0,0.113924,0.063291,0.088608,0.050633,0.012658,0.012658,0.151899,0.075949,0,0.012658,0.025316,0.164557,0,0.012658,0,0,0.012658,0,0,0,0.126582,0.088608,0,0.050633,0,0.050633,0.139241,0.151899,0.025316,0.050633,0.025316,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,12,1,0,0,0.501037,0,0,0,0,0,0,0,0,0,0.083651,0,0,0,0.011765,0,0.129412,0.141176,-0.563508,0.858824,6,0
82,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.260387,0.165204,0.050414,0.085431,0.046343,0.392221,0.084,0.479,0.158,0.269,0.009,614,23.615385,26,0.372964,0.004886,0,0.008143,0,99,3.074342,83.987134,93.920216,0.713355,0.021173,0.026059,0.016287,0.053746,0.027687,0.197068,0.003257,0.001629,0.026059,0.084691,0,0.029316,0.019544,0,0.006515,0.011401,0.037459,0.004886,0.04886,0.011401,0.019544,0,0.001629,0.006515,0.006515,0.135179,0.001629,0.004886,0,0.003257,0,0.004886,0.032573,0,0,0.35342,0.017915,0.011401,0.001629,0,0.008143,0.014658,0.001629,0.004886,0.006515,0.008143,0.017915,0,0.019544,0.006515,0.004886,0.014658,0,0.02443,0.143322,0.027687,0.006515,0.019544,0.042345,0.061889,0.040717,0.04886,0.094463,0.162866,0.04886,0.014658,0,0.039088,0.112378,0.006515,0.013029,0.001629,0,0.008143,0,0.003257,0.019544,0.099349,0.043974,0,0.003257,0.008143,0.052117,0.07329,0.07329,0.011401,0.045603,0.001629,31.73,0,11,0,2,0,14,2,23.93,11,33.73,32.6,18,0,31.73,6,107.06,20,21,145.06,107.06,0.581844,0,0.32541,0,0.080634,0,0.380399,0.080634,0.512052,0.32541,0.596637,0.58841,0.441139,0,0.259711,0.208308,0.150564,0.028127,0.029533,0.204005,0.842202,0.795995,48,0
83,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.186004,0.162292,0,0.322863,0.152462,0.176379,0.007,0.978,0.01,0.002,0.002,32,32,1,0.4375,0,0,0,0,97.357556,1,50,25.774194,0.21875,0,0,0,0,0,0.84375,0,0,0,0.0625,0,0,0,0,0,0,0,0.09375,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.03125,0,0,0.09375,0,0,0,0,0,0,0,0,0,0.03125,0.0625,0,0,0.65625,0,0,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
84,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.269768,0.036273,0.006442,0.040737,0.026423,0.620358,0.241,0.187,0.27,0.284,0.017,993,22.066667,45,0.317221,0,0,0.001007,0,89.059633,5.83531,83.319184,54.203347,0.734139,0.009063,0.039275,0.023162,0.031219,0.014099,0.224572,0.003021,0.003021,0.016113,0.089627,0,0.052367,0.014099,0.007049,0.015106,0.007049,0.071501,0.002014,0.069486,0.022155,0.06143,0,0,0.020141,0.002014,0.082578,0,0.003021,0.001007,0.064451,0,0.003021,0.053374,0.003021,0.003021,0.429003,0,0.011078,0.002014,0.005035,0.048338,0.001007,0.001007,0.020141,0.016113,0.016113,0.01007,0.001007,0.012085,0.011078,0.008056,0,0.001007,0.01712,0.181269,0.009063,0.001007,0.037261,0.074522,0.049345,0.048338,0.023162,0.053374,0.117825,0.096677,0.016113,0,0.052367,0.108761,0.003021,0.005035,0.003021,0.001007,0.023162,0,0.008056,0.036254,0.127895,0.054381,0,0.011078,0.002014,0.043303,0.09567,0.097684,0.004028,0.028197,0.001007,79.625,0,27,0,13,0,18,6,20,14,3,9,20.6,0,79.625,0,133.225,20.8,59,208.025,133.225,0.72634,0,0.473684,0,0.302326,0,0.375,0.166667,0.4,0.318182,0.090909,0.230769,0.407115,0,0.361702,0,0.116657,0.018213,0.051663,0.182155,0.777728,0.817845,59,0
85,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.056665,0.169477,0.267983,0.198319,0.177691,0.129865,0.076,0.68,0.185,0.046,0.013,1271,16.088608,79,0.319434,0,0,0,0,95.825124,22.779916,76.540591,27.07797,0.788356,0.006294,0.043273,0.029111,0.040126,0.020456,0.184107,0.003934,0.007868,0.011015,0.096774,0,0.061369,0.003934,0.00236,0.010228,0.008655,0.09284,0.001574,0.060582,0.031471,0.039339,0,0.001574,0.033832,0.01967,0.104642,0,0,0.00236,0.006294,0,0.006294,0.055075,0.000787,0.000787,0.45712,0.000787,0.01967,0,0.006294,0.039339,0.011802,0.000787,0.013375,0.013375,0.007081,0.034618,0.009441,0.021243,0.015736,0.01967,0.009441,0.00236,0.011802,0.203777,0.004721,0,0.032258,0.082612,0.038552,0.039339,0.020456,0.067663,0.160504,0.078678,0.018096,0,0.023603,0.150275,0.001574,0.00236,0.009441,0.001574,0.010228,0,0,0.018883,0.120378,0.081039,0,0.01967,0.006294,0.049567,0.118017,0.120378,0.003147,0.02203,0.004721,11.875,0,107.5,1,5,0,14.275,18,6.08,183.5,6.125,26.375,39.375,0,11.875,0,88.955,16.275,262.5,360.48,88.955,0.230028,0,0.730055,0.02454,0.111734,0,0.264233,0.311693,0.132666,0.821951,0.133517,0.398871,0.497635,0,0.404499,0,0.057858,0.010586,0.170734,0.234462,-0.860617,0.765538,94,0
86,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.073326,0.311922,0.051513,0.221913,0.20347,0.137857,0.044,0.483,0.156,0.043,0.275,1269,23.5,54,0.393223,0,0,0,0.007092,95.934836,6.815902,60.574135,20.955433,0.726556,0.018125,0.052797,0.020489,0.047281,0.01576,0.145784,0.011032,0.002364,0.00788,0.105595,0.000788,0.074862,0.00394,0.003152,0.01576,0.007092,0.082742,0.004728,0.032309,0.022065,0.042553,0.014972,0.000788,0.022065,0.014184,0.100079,0,0.000788,0.000788,0.006304,0,0.009456,0.016548,0.000788,0.000788,0.432624,0.000788,0.002364,0.003152,0,0.037825,0.001576,0,0.013396,0.006304,0.00394,0.002364,0.004728,0.006304,0.006304,0.024429,0,0.000788,0.018913,0.189125,0.005516,0.000788,0.012608,0.044129,0.047281,0.026005,0.021277,0.056738,0.137116,0.06383,0.014972,0.000788,0.034673,0.107171,0.001576,0.01182,0.011032,0.000788,0.009456,0,0,0.00788,0.042553,0.05989,0,0.018913,0.005516,0.037825,0.08747,0.100867,0.012608,0.036249,0,17.625,4,143.625,1,22,35.25,9,61.5,2.83,105.875,37,18,20.475,1.75,17.625,0,127.42,46.25,278.375,434.92,127.42,0.34909,0.108509,0.813793,0.02953,0.400996,0.51752,0.214985,0.651736,0.079286,0.763127,0.529605,0.353889,0.38387,0.050559,0.400996,0,0.080092,0.029071,0.174977,0.273376,-0.866597,0.726624,113,1
87,NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.155029,0.263717,0.036367,0.16083,0.164596,0.219462,0.269,0.526,0.08,0.061,0.064,291,26.454545,11,0.343643,0,0,0,0,92.942009,1,50,44.658557,0.099656,0,0,0,0.010309,0,0.175258,0,0,0,0.027491,0,0,0,0,0.006873,0,0.006873,0.003436,0.04811,0,0,0,0,0,0,0,0,0,0.003436,0,0,0,0,0,0,0.058419,0,0,0,0.003436,0,0.024055,0,0,0,0.003436,0,0,0,0.017182,0,0.024055,0,0.006873,0.010309,0,0,0.003436,0.034364,0.017182,0.013746,0.010309,0,0,0.013746,0,0.006873,0.082474,0,0,0,0,0,0,0,0,0,0.010309,0,0,0,0,0,0,0.003436,0,0.013746,0.010309,0,3,0,0,0,0,0,11.83,1.83,0,0,0,4,0,0,0,8.83,0,13.83,20.66,8.83,0,0.168233,0,0,0,0,0,0.443696,0.109828,0,0,0,0.2124,0,0.118818,0,0.029271,0,0.045846,0.068488,-0.322829,0.931512,10,1
88,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.320517,0.067178,0.071117,0.158181,0.071202,0.311805,0.24,0.198,0.276,0.233,0.053,944,28.606061,33,0.346398,0,0,0,0,96.951984,15.604923,79.268832,75.004767,0.751059,0.014831,0.04661,0.026483,0.03072,0.019068,0.189619,0.002119,0,0.010593,0.100636,0,0.047669,0.01589,0.005297,0.014831,0.010593,0.075212,0.002119,0.086864,0.027542,0.058263,0,0.002119,0.013771,0.004237,0.063559,0.001059,0.005297,0.003178,0.038136,0,0.006356,0.055085,0.002119,0.002119,0.425847,0.006356,0.009534,0.011653,0.008475,0.023305,0.001059,0.003178,0.01589,0.011653,0.020127,0.016949,0.009534,0.011653,0.005297,0.002119,0,0.001059,0.019068,0.197034,0.003178,0.003178,0.03178,0.042373,0.054025,0.034958,0.028602,0.03072,0.148305,0.058263,0.022246,0,0.040254,0.134534,0.003178,0.009534,0,0,0.014831,0,0.001059,0.019068,0.106992,0.074153,0,0.024364,0.005297,0.048729,0.101695,0.105932,0.001059,0.007415,0.001059,76.45,0,9,0,0,8,3,4,0.73,5,24,62.8,35.75,0,76.45,13,175.56,28.25,12.75,209.56,175.56,0.748479,0,0.259437,0,0,0.237456,0.104564,0.134723,0.02763,0.162917,0.48299,0.709681,0.581864,0,0.189331,0.336,0.160101,0.025762,0.011627,0.191107,0.899623,0.808893,57,0
89,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.149557,0.211805,0.140643,0.173339,0.145421,0.179235,0.243,0.263,0.352,0.107,0.035,1720,13.650794,126,0.252326,0,0,0,0,80.413714,11.079457,78.891929,68.561462,0.798256,0.024419,0.058721,0.050581,0.054651,0.018023,0.23314,0.005814,0.002907,0.033721,0.079651,0.002326,0.07093,0.008721,0.001744,0.012209,0.011628,0.086628,0.00407,0.060465,0.025,0.046512,0,0,0.020349,0.011047,0.084884,0,0.000581,0.005233,0.001163,0.000581,0.007558,0.069767,0.008721,0.008721,0.478488,0.00407,0.019186,0.002907,0.024419,0.041279,0.00407,0.001744,0.019767,0.012209,0.015116,0.04593,0.001163,0.011047,0.012209,0.014535,0.001744,0,0.013953,0.242442,0.010465,0.002326,0.030814,0.070349,0.039535,0.082558,0.037209,0.037209,0.134884,0.123837,0.024419,0.00407,0.047674,0.123256,0.000581,0.025,0.001744,0.000581,0.006395,0,0.000581,0.040116,0.128488,0.058721,0,0.022093,0.009302,0.05407,0.137791,0.140116,0.001163,0.022093,0.007558,101.35,0,67,36.5,12,11.175,22,46.725,85.3125,50.425,29.25,75.45,122.75,10,101.35,0,316.175,35.175,193.775,541.125,316.175,0.668758,0,0.571674,0.420994,0.192927,0.182079,0.304711,0.482076,0.629556,0.50112,0.368158,0.600479,0.709744,0.166114,0.135601,0,0.148361,0.016505,0.090926,0.253915,0.775191,0.746085,130,0
90,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.153141,0.254343,0.073852,0.167632,0.098233,0.252799,0.034,0.79,0.06,0.105,0.011,865,16.634615,52,0.316763,0,0,0,0,86.256615,4.768332,93.047706,49.433526,0.788439,0.010405,0.03237,0.034682,0.049711,0.020809,0.206936,0.00578,0,0.013873,0.068208,0,0.07052,0.004624,0,0.011561,0.004624,0.086705,0.001156,0.056647,0.024277,0.049711,0,0.001156,0.017341,0.021965,0.121387,0.001156,0,0,0.012717,0,0.008092,0.054335,0.001156,0.001156,0.452023,0,0.018497,0.002312,0.002312,0.043931,0.001156,0.003468,0.021965,0.017341,0.013873,0.073988,0.003468,0.020809,0.009249,0.018497,0.001156,0,0.010405,0.20578,0.006936,0.001156,0.02659,0.095954,0.043931,0.061272,0.031214,0.079769,0.144509,0.105202,0.009249,0,0.030058,0.136416,0,0.010405,0.004624,0.001156,0.008092,0,0.001156,0.046243,0.16763,0.06474,0,0.021965,0.003468,0.049711,0.12948,0.138728,0.009249,0.024277,0,8,0,38.725,1,4,5,21,50,1.73,22,4,4.75,35.075,0,8,1,60.385,26,111.725,195.11,60.385,0.198763,0,0.545622,0.030076,0.110348,0.134232,0.394373,0.60791,0.050914,0.405537,0.110348,0.128382,0.520988,0,0.302709,0.030076,0.060621,0.026102,0.112161,0.195872,-0.692441,0.804128,64,0
91,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.516256,0.067896,0.018149,0.085795,0.064655,0.24725,0.103,0.468,0.292,0.122,0.016,1282,21.366667,60,0.326053,0,0,0,0,94.525444,6.887096,88.054752,29.689817,0.795632,0.01248,0.038222,0.035101,0.041342,0.01248,0.177847,0.00546,0.00546,0.01092,0.087363,0,0.052262,0.017941,0.00234,0.00858,0.00156,0.052262,0.00078,0.070983,0.018721,0.049922,0,0.00468,0.019501,0.00312,0.116225,0,0.00624,0.00546,0.00156,0,0.0117,0.041342,0.00234,0.00234,0.443838,0.014041,0.017941,0.00702,0,0.025741,0.00078,0.00156,0.01014,0.017941,0.00624,0.084243,0.01014,0.020281,0.00312,0.018721,0,0,0.032761,0.204368,0.00624,0.00078,0.031981,0.070983,0.054602,0.058502,0.021061,0.082683,0.152106,0.084243,0.013261,0,0.017161,0.148206,0.0039,0.01014,0.01014,0.00234,0.0078,0,0,0.053822,0.139626,0.074103,0.00078,0.015601,0.00312,0.060062,0.109984,0.104524,0.00156,0.027301,0,55.225,0,112.49,3,12,10,23.25,52.5,6.68,80.875,45,22.375,39,0,55.225,0,159.28,40.25,246.865,418.465,159.28,0.614526,0,0.764557,0.0797,0.257284,0.224009,0.401617,0.602472,0.161661,0.700119,0.565035,0.392434,0.529596,0,0.675543,0,0.099708,0.025196,0.154535,0.261956,-0.781451,0.738044,103,0
92,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.274315,0.143051,0.02615,0.074839,0.026516,0.45513,0.057,0.683,0.07,0.184,0.007,448,26.352941,17,0.323661,0,0,0,0,99,41.069597,49.107143,81.932432,0.821429,0.022321,0.075893,0.035714,0.046875,0.011161,0.216518,0,0,0.020089,0.095982,0,0.026786,0.002232,0,0.008929,0.020089,0.082589,0.004464,0.064732,0.053571,0.042411,0.017857,0,0.03125,0,0.122768,0,0.006696,0.002232,0,0,0.011161,0.020089,0,0,0.446429,0.002232,0,0.013393,0,0.035714,0.006696,0,0.013393,0.006696,0.006696,0.004464,0.060268,0.024554,0.011161,0.006696,0.006696,0,0.082589,0.252232,0.026786,0.004464,0.011161,0.051339,0.113839,0.015625,0.037946,0.089286,0.196429,0.051339,0.040179,0,0.024554,0.15625,0,0.008929,0,0.004464,0.004464,0.002232,0,0.004464,0.033482,0.087054,0,0.011161,0.004464,0.051339,0.055804,0.053571,0,0.060268,0.006696,12.25,0,0,0,2,0,15,2,5,8,7,30,4,0,12.25,0,54.25,15,52,104.25,54.25,0.399165,0,0,0,0.097852,0,0.448577,0.097852,0.213319,0.302582,0.275167,0.619335,0.17826,0,0.648371,0,0.103284,0.028558,0.099,0.198477,0.14717,0.801523,27,1
