@relation Training-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute query numeric
@attribute urls numeric
@attribute affect numeric
@attribute commas numeric
@attribute dashes numeric
@attribute differentiation numeric
@attribute exclamations numeric
@attribute hear numeric
@attribute i numeric
@attribute other_punctuation numeric
@attribute periods numeric
@attribute personal_concerns numeric
@attribute power numeric
@attribute relativity numeric
@attribute semicolons numeric
@attribute social numeric
@attribute ambifeel_score numeric
@attribute Class {0,1}

@data
39,0.023,0,0.03321,0.079336,0,0.02583,0,0.009225,0,0.005535,0.042435,0.049815,0.0369,0.129151,0,0.103321,0.008031,0
40,0.16,0,0.039191,0.064475,0.007585,0.039191,0.001264,0.002528,0,0.002528,0.04804,0.035398,0.021492,0.098609,0.001264,0.053097,0.013882,1
41,0.035,0,0.030457,0.055838,0,0.015228,0,0.021997,0.005076,0.015228,0.062606,0.084602,0.054146,0.143824,0,0.159052,0.00597,0
42,0.547,0,0.065217,0.027174,0.016304,0.038043,0,0.005435,0.027174,0.01087,0.038043,0.005435,0.016304,0.119565,0,0.163043,0,1
43,0.015,0,0.037129,0.059406,0,0.009901,0,0.002475,0,0.002475,0.034653,0.096535,0.056931,0.081683,0,0.069307,0.033403,0
44,0.036,0,0.018256,0.059838,0,0.026369,0,0.010142,0,0.006085,0.057809,0.060852,0.061866,0.127789,0,0.118661,0.053847,0
45,0.006,0,0.02807,0.075439,0.003509,0.017544,0,0.005263,0.007018,0.012281,0.038596,0.052632,0.061404,0.142105,0,0.054386,0.042772,1
46,0.043,0,0.063861,0.037736,0,0.007257,0,0.015965,0.001451,0.002903,0.050798,0.060958,0.066763,0.132075,0,0.088534,0.005466,0
47,0.004,0,0.080808,0.070707,0,0,0.010101,0.020202,0,0.010101,0.080808,0.131313,0.020202,0.191919,0,0.131313,0,1
48,0.025,0,0.065282,0.041543,0.008902,0.008902,0,0.008902,0.011869,0.014837,0.041543,0.062315,0.068249,0.148368,0,0.11276,0.046272,1
49,0.042,0,0.03178,0.050847,0,0.025424,0,0.006356,0,0.010593,0.059322,0.065678,0.057203,0.125,0,0.07839,0.019767,0
50,0.03,0,0.073232,0.055556,0,0.023569,0,0.01431,0.015152,0.008418,0.069865,0.050505,0.037879,0.105219,0,0.138889,0.025311,0
51,0.022,0,0.046363,0.070344,0,0.019984,0,0.016787,0.002398,0.004796,0.071143,0.092726,0.057554,0.144684,0,0.115907,0.024465,0
52,0.234,0,0.031423,0.060074,0,0.023105,0,0.010166,0.001848,0.000924,0.061922,0.077634,0.042514,0.211645,0,0.04159,0.033708,0
53,0.113,0,0.055333,0.043304,0.014435,0.017642,0,0.005613,0,0,0.051323,0.064956,0.040096,0.121091,0.000802,0.033681,0.017861,1
54,0.043,0,0.023826,0.065172,0,0.020322,0.000701,0.016819,0.003504,0.005606,0.040645,0.091801,0.05466,0.161177,0,0.103013,0.028008,0
55,0.028,0,0.045593,0.06079,0,0.027356,0,0.018237,0,0.00304,0.048632,0.109422,0.024316,0.118541,0,0.136778,0.021868,0
56,0.006,0,0.040222,0.056865,0.011096,0.024272,0,0.006241,0.001849,0.011789,0.053629,0.101248,0.033981,0.128294,0.001387,0.054785,0.028451,1
57,0.054,0,0.036594,0.068708,0,0.014937,0,0.008215,0.006721,0.005228,0.074683,0.070948,0.083645,0.143391,0,0.126214,0.015046,0
58,0.135,0,0.022864,0.044525,0.01444,0.020457,0.004813,0.001203,0.002407,0.01444,0.054152,0.064982,0.031288,0.145608,0,0.056558,0.028811,1
59,0.138,0,0.03125,0,0,0,0,0,0,0.03125,0,0.03125,0,0.125,0,0.0625,0,1
60,0.008,0,0.071429,0.095238,0.02381,0,0,0.02381,0,0,0.095238,0.047619,0.095238,0.095238,0,0.095238,0,1
61,0.152,0,0.095652,0.056522,0.026087,0.008696,0,0,0,0.004348,0.043478,0.069565,0.043478,0.147826,0,0.047826,0,1
62,0.214,0,0.031378,0.061392,0,0.013643,0,0.008186,0,0.016371,0.062756,0.109141,0.049113,0.154161,0,0.050477,0.009611,0
63,0.026,0,0.038351,0.068073,0,0.027804,0,0.011505,0.003835,0.005753,0.048897,0.100671,0.044104,0.119847,0,0.079578,0.025618,0
